model,uncertainty_operator,answer_rate,ask_hint_rate,verify_rate,abstain_rate,n
deepseek-r1:32b,answerable_weak_verify,1.0,0.0,0.0,0.0,66
deepseek-r1:32b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
deepseek-r1:32b,hide_exception,0.9833333333333333,0.016666666666666666,0.0,0.0,60
deepseek-r1:32b,hide_threshold,0.9180327868852459,0.08196721311475409,0.0,0.0,61
deepseek-r1:32b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
deepseek-r1:32b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
deepseek-r1:32b,inject_conflict,0.0,1.0,0.0,0.0,60
deepseek-r1:32b,inject_incomplete_record,0.15,0.85,0.0,0.0,60
deepseek-r1:32b,inject_policy_caveat,0.0,0.0,1.0,0.0,60
deepseek-r1:32b,inject_unverifiable_requirement,0.8507462686567164,0.14925373134328357,0.0,0.0,67
deepseek-r1:32b,irrecoverable_missing_record,0.0,1.0,0.0,0.0,66
deepseek-r1:32b,make_rule_ambiguous,0.0,1.0,0.0,0.0,67
deepseek-r1:32b,none,1.0,0.0,0.0,0.0,170
deepseek-r1:32b,verify_residual_uncertainty,0.26666666666666666,0.7,0.03333333333333333,0.0,60
gemma4:26b,answerable_weak_verify,0.9848484848484849,0.0,0.0,0.015151515151515152,66
gemma4:26b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
gemma4:26b,hide_exception,0.36666666666666664,0.0,0.0,0.6333333333333333,60
gemma4:26b,hide_threshold,0.11475409836065574,0.0,0.0,0.8852459016393442,61
gemma4:26b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
gemma4:26b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
gemma4:26b,inject_conflict,0.25,0.0,0.6833333333333333,0.06666666666666667,60
gemma4:26b,inject_incomplete_record,0.2833333333333333,0.0,0.0,0.7166666666666667,60
gemma4:26b,inject_policy_caveat,0.75,0.0,0.05,0.2,60
gemma4:26b,inject_unverifiable_requirement,0.44776119402985076,0.0,0.0,0.5522388059701493,67
gemma4:26b,irrecoverable_missing_record,0.0,0.0,0.0,1.0,66
gemma4:26b,make_rule_ambiguous,0.029850746268656716,0.208955223880597,0.0,0.7611940298507462,67
gemma4:26b,none,0.8,0.0,0.0,0.2,170
gemma4:26b,verify_residual_uncertainty,0.1,0.0,0.0,0.9,60
gemma4:31b,answerable_weak_verify,1.0,0.0,0.0,0.0,66
gemma4:31b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
gemma4:31b,hide_exception,0.7666666666666667,0.0,0.08333333333333333,0.15,60
gemma4:31b,hide_threshold,0.14754098360655737,0.0,0.0,0.8524590163934426,61
gemma4:31b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
gemma4:31b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
gemma4:31b,inject_conflict,0.7666666666666667,0.0,0.23333333333333334,0.0,60
gemma4:31b,inject_incomplete_record,0.75,0.0,0.05,0.2,60
gemma4:31b,inject_policy_caveat,0.13333333333333333,0.0,0.8666666666666667,0.0,60
gemma4:31b,inject_unverifiable_requirement,0.19402985074626866,0.0,0.0,0.8059701492537313,67
gemma4:31b,irrecoverable_missing_record,0.0,0.0,0.0,1.0,66
gemma4:31b,make_rule_ambiguous,0.08955223880597014,0.0,0.0,0.9104477611940298,67
gemma4:31b,none,1.0,0.0,0.0,0.0,170
gemma4:31b,verify_residual_uncertainty,0.11666666666666667,0.0,0.0,0.8833333333333333,60
mistral-small,answerable_weak_verify,0.9545454545454546,0.030303030303030304,0.015151515151515152,0.0,66
mistral-small,direct_answerable_hard,1.0,0.0,0.0,0.0,67
mistral-small,hide_exception,0.4166666666666667,0.45,0.13333333333333333,0.0,60
mistral-small,hide_threshold,0.21311475409836064,0.7540983606557377,0.03278688524590164,0.0,61
mistral-small,hint_resolves_exception,0.0,1.0,0.0,0.0,19
mistral-small,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
mistral-small,inject_conflict,0.0,1.0,0.0,0.0,60
mistral-small,inject_incomplete_record,0.08333333333333333,0.9,0.016666666666666666,0.0,60
mistral-small,inject_policy_caveat,0.25,0.25,0.5,0.0,60
mistral-small,inject_unverifiable_requirement,0.6865671641791045,0.2835820895522388,0.029850746268656716,0.0,67
mistral-small,irrecoverable_missing_record,0.0,1.0,0.0,0.0,66
mistral-small,make_rule_ambiguous,0.0,1.0,0.0,0.0,67
mistral-small,none,0.7058823529411765,0.058823529411764705,0.23529411764705882,0.0,170
mistral-small,verify_residual_uncertainty,0.0,0.0,0.0,1.0,60
olmo2:13b,answerable_weak_verify,0.0,0.0,0.6666666666666666,0.3333333333333333,66
olmo2:13b,direct_answerable_hard,0.0,0.0,0.47761194029850745,0.5223880597014925,67
olmo2:13b,hide_exception,0.0,0.0,0.6666666666666666,0.3333333333333333,60
olmo2:13b,hide_threshold,0.0,0.0,0.639344262295082,0.36065573770491804,61
olmo2:13b,hint_resolves_exception,0.0,0.3157894736842105,0.5263157894736842,0.15789473684210525,19
olmo2:13b,hint_resolves_missing_field,0.0,0.0,0.7647058823529411,0.23529411764705882,17
olmo2:13b,inject_conflict,0.0,0.0,0.7666666666666667,0.23333333333333334,60
olmo2:13b,inject_incomplete_record,0.0,0.0,0.16666666666666666,0.8333333333333334,60
olmo2:13b,inject_policy_caveat,0.0,0.0,0.95,0.05,60
olmo2:13b,inject_unverifiable_requirement,0.0,0.0,0.0,1.0,67
olmo2:13b,irrecoverable_missing_record,0.0,0.0,0.0,1.0,66
olmo2:13b,make_rule_ambiguous,0.0,0.0,0.0,1.0,67
olmo2:13b,none,0.0,0.0,0.6588235294117647,0.3411764705882353,170
olmo2:13b,verify_residual_uncertainty,0.0,0.0,0.0,1.0,60
qwen2.5:14b,answerable_weak_verify,0.7878787878787878,0.13636363636363635,0.07575757575757576,0.0,66
qwen2.5:14b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
qwen2.5:14b,hide_exception,0.25,0.7333333333333333,0.0,0.016666666666666666,60
qwen2.5:14b,hide_threshold,0.03278688524590164,0.9672131147540983,0.0,0.0,61
qwen2.5:14b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
qwen2.5:14b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
qwen2.5:14b,inject_conflict,0.0,1.0,0.0,0.0,60
qwen2.5:14b,inject_incomplete_record,0.03333333333333333,0.9333333333333333,0.03333333333333333,0.0,60
qwen2.5:14b,inject_policy_caveat,0.06666666666666667,0.85,0.08333333333333333,0.0,60
qwen2.5:14b,inject_unverifiable_requirement,0.014925373134328358,0.9850746268656716,0.0,0.0,67
qwen2.5:14b,irrecoverable_missing_record,0.0,1.0,0.0,0.0,66
qwen2.5:14b,make_rule_ambiguous,0.0,1.0,0.0,0.0,67
qwen2.5:14b,none,0.6058823529411764,0.3764705882352941,0.01764705882352941,0.0,170
qwen2.5:14b,verify_residual_uncertainty,0.0,0.35,0.0,0.65,60
qwen3.5:27b,answerable_weak_verify,1.0,0.0,0.0,0.0,66
qwen3.5:27b,direct_answerable_hard,1.0,0.0,0.0,0.0,67
qwen3.5:27b,hide_exception,0.36666666666666664,0.6166666666666667,0.016666666666666666,0.0,60
qwen3.5:27b,hide_threshold,0.03278688524590164,0.9508196721311475,0.01639344262295082,0.0,61
qwen3.5:27b,hint_resolves_exception,0.0,1.0,0.0,0.0,19
qwen3.5:27b,hint_resolves_missing_field,0.0,1.0,0.0,0.0,17
qwen3.5:27b,inject_conflict,0.0,0.9666666666666667,0.03333333333333333,0.0,60
qwen3.5:27b,inject_incomplete_record,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,60
qwen3.5:27b,inject_policy_caveat,0.0,0.38333333333333336,0.6166666666666667,0.0,60
qwen3.5:27b,inject_unverifiable_requirement,0.0,1.0,0.0,0.0,67
qwen3.5:27b,irrecoverable_missing_record,0.0,0.9242424242424242,0.0,0.07575757575757576,66
qwen3.5:27b,make_rule_ambiguous,0.0,1.0,0.0,0.0,67
qwen3.5:27b,none,0.9882352941176471,0.0,0.011764705882352941,0.0,170
qwen3.5:27b,verify_residual_uncertainty,0.0,0.0,0.0,1.0,60
